"OGU","domain","phylum","class","order","family","genus","species","UNITN","UHGG","PATH","WIS","cov_All"
"G000007765","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Coxiella","Coxiella_burnetii",FALSE,FALSE,TRUE,FALSE,0.00148856739899657
"G000007825","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_cereus",FALSE,FALSE,TRUE,FALSE,0.0984816392834262
"G000007905","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter_hepaticus",FALSE,FALSE,TRUE,FALSE,0.00320763295474631
"G000008045","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia","Rickettsia_typhi",FALSE,FALSE,TRUE,FALSE,0.00274045070787479
"G000008185","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema_denticola",TRUE,FALSE,TRUE,FALSE,0.990996415659674
"G000008425","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_licheniformis",FALSE,TRUE,TRUE,FALSE,0.0506606641098174
"G000008445","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_anthracis",TRUE,FALSE,TRUE,TRUE,0.0926824402621673
"G000008485","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella","Legionella_pneumophila",FALSE,FALSE,TRUE,FALSE,0.00357912903641641
"G000008865","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia_coli",TRUE,FALSE,TRUE,FALSE,0.884022310620245
"G000009045","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_subtilis",FALSE,TRUE,TRUE,TRUE,0.0391338754143532
"G000009085","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter_jejuni",TRUE,FALSE,TRUE,FALSE,0.0153337138839865
"G000009805","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Nocardiaceae","Nocardia","Nocardia_farcinica",FALSE,FALSE,TRUE,FALSE,0.00864632546265454
"G000010125","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_saprophyticus",FALSE,FALSE,TRUE,TRUE,0.463340676408557
"G000010205","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Orientia","Orientia_tsutsugamushi",FALSE,FALSE,TRUE,FALSE,0.000910409076813339
"G000010425","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_adolescentis",TRUE,TRUE,FALSE,TRUE,0.295797133005845
"G000010505","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas_gingivalis",TRUE,TRUE,TRUE,FALSE,0.971514120004111
"G000011065","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_thetaiotaomicron",TRUE,TRUE,TRUE,TRUE,0.984351113440882
"G000011225","Bacteria","Tenericutes","","Mycoplasmoidales","Mycoplasmoidaceae","Malacoplasma","Mycoplasma_penetrans",FALSE,FALSE,TRUE,FALSE,0.00111141124939553
"G000011645","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_licheniformis",FALSE,TRUE,TRUE,FALSE,0.0506664500543149
"G000011705","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_mallei",FALSE,FALSE,TRUE,FALSE,0.0322559307636456
"G000012065","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Borreliaceae","Borrelia","Borrelia_hermsii",FALSE,FALSE,TRUE,FALSE,0.00103054598307429
"G000012085","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Borreliaceae","Borrelia","Borrelia_turicatae",FALSE,FALSE,TRUE,FALSE,0.000856266489350293
"G000012125","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydia","Chlamydia_trachomatis",TRUE,FALSE,TRUE,FALSE,0.00161598647894607
"G000012365","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_thailandensis",FALSE,FALSE,TRUE,FALSE,0.030368269325722
"G000012565","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Ehrlichia","Ehrlichia_canis",FALSE,FALSE,TRUE,FALSE,0.0017436864558223
