domain,phylum,class-order,family,species,reference
Bacteria,Actinobacteria,Actinomycetales,Propionibacterineae,Propionibacterium propionicum,"(Ramotar et al., 1984)"
Bacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces massiliensis,"(Pfleiderer et al., 2013)"
Bacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces misionensis,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces thermovulgaris,"(Dubourg et al., 2013)"
Bacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces thermoviolaceus,"(Hoyles et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Micrococcineae,Tropheryma whipplei,"(Raoult et al., 2010)"
Bacteria,Actinobacteria,Actinomycetales,Micrococcineae,Timonella senegalensis,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium adolescentis,"(Reuter, 1963)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium angulatum,"(Scardovi & Crociani, 1974)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium animalis,"(Pfleiderer et al., 2013)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium bifidum,"(Tissier, 1900)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium boum,"(Woodmansey et al., 2004)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium breve,"(Reuter, 1963)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium catenulatum,"(Scardovi & Crociani, 1974)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium coryneforme,"(Woodmansey et al., 2004)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium dentium,"(Scardovi & Crociani, 1974)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium gallicum,"(Lauer, 1990)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium kashiwanohense,"(Morita et al., 2011)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium longum,"(Reuter, 1963)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium mongoliense,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium pseudocatenulatum ,"(Scardovi et al., 1979)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium pseudolongum,"(Moore & Holdeman, 1974)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium ruminantium,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium scardovii,"(Favier et al., 2002)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium stercoris,"(Kim et al., 2010)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium thermophilum,"(Finegold et al., 1974)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium thermacidophilum,"(Moroni et al., 2006)"
Bacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Scardovia inopinata,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Asaccharobacter celatus,"(Pfleiderer et al., 2013)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Adlercreutzia equolifaciens,"(Maruo et al., 2008)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium minutum,"(Moore & Holdeman, 1974; Collins & Wallbanks, 1992)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium parvulum,"(Finegold et al., 1974; Collins & Wallbanks, 1992)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium rimae,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella aerofaciens,"(Moore & Holdeman, 1974; Kageyama et al., 1999)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella intestinalis,"(Kageyama & Benno, 2000)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella stercoris,"(Kageyama & Benno, 2000)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella tanakaei,"(Nagai et al., 2010)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Cryptobacterium curtum,"(Bik et al., 2006)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Eggerthella lenta,"(Eggerth, 1935; Kageyama et al., 1999)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Enorma massiliensis,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Gordonibacter pamelaeae,"(Würdemann et al., 2009)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Olsenella profusa,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Olsenella uli,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Paraeggerthella hongkongensis,"(Lau et al., 2004; Würdemann et al., 2009)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Senegalemassilia anaerobia,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Slackia equolifaciens,"(Jin et al., 2009)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Slackia exigua,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Slackia isoflavoniconvertens,"(Matthies et al., 2009)"
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Slackia piriformis,"(Nagai et al., 2010)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides caccae,"(Johnson et al., 1986)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides cellulosilyticus,"(Robert & Bernalier-Donadille, 2003; Robert et al., 2007)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides clarus,"(Watanabe et al., 2009)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides coprocola,"(Kitahara et al., 2005)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides coprophilus,"(Hayashi et al., 2007)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides dorei,"(Bakir et al., 2006)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides faecis,"(Kim et al., 2009)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides eggerthii,"(Holdeman & Moore, 1974)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides finegoldii,"(Bakir et al., 2005)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides fluxus,"(Watanabe et al., 2009)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides fragilis,"(Veillon & Zuber, 1898)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides graminisolvens,"(Li et al., 2008)"
