gIDs,start,stop,length
G000502515,6175153,6175684,532
G000502515,6177620,6177724,105
G000502535,6388470,6389620,1151
G000502555,6521069,6522261,1193
G000502575,6335331,6336145,815
G000502615,6636000,6636264,265
G000502715,5990274,5991264,991
G000502735,6470225,6470503,279
G000502855,6692358,6692672,315
G000502875,6642747,6643109,363
G000502915,6653149,6653460,312
G000502935,6759000,6759135,136
G000503015,5942250,5943877,1628
G000503055,7052342,7052655,314
G000503075,6649158,6649471,314
G000503095,6463900,6464373,474
G000504065,9428000,9428587,588
G000504065,9429324,9429783,460
G000506945,4424669,4425443,775
G000508905,10754,11168,415
G000508905,20801,20948,148
G000508905,21735,22178,444
G000508905,25685,25897,213
G000508905,26119,26468,350
G000508905,27000,27209,210
G000508925,35148,35614,467
G000508925,68065,69587,1523
G000513755,3925634,3925851,218
G000516395,2558786,2559139,354
G000516415,2427324,2427488,165
G000524945,2401,2667,267
G000524945,2888,2999,112
G000564955,2709853,2710515,663
G000576475,3709504,3714654,5151
G000576475,3718512,3718656,145
G000580335,4097454,4098737,1284
G000580335,4101264,4102437,1174
G000580335,4115318,4115999,682
G000580335,4121204,4121868,665
G000580335,4132000,4132437,438
G000580575,4101349,4101468,120
G000580575,4146716,4146970,255
G000581295,4402166,4402647,482
G000581815,4010639,4010758,120
G000581915,3862653,3862772,120
G000581935,4117233,4117352,120
G000581955,3862569,3862688,120
G000581975,3962773,3962892,120
G000581975,3968199,3968453,255
G000582095,4137587,4137848,262
G000582255,4166603,4166722,120
G000582355,3695575,3695694,120
G000582355,3698480,3698741,262
G000586655,3946675,3947175,501
G000598545,37044,37243,200
G000598545,65447,66108,662
G000598545,268819,269231,413
G000598925,24900,25243,344
G000598925,35225,35424,200
G000599265,0,300,301
G000599265,68062,68785,724
G000599265,300030,300336,307
G000599425,1069,2161,1093
G000599425,2333,3432,1100
G000599425,5389,5530,142
G000601035,5159228,5159686,459
G000601115,5070000,5070463,464
G000601115,5073262,5073938,677
G000601195,4458787,4459180,394
G000626755,4910863,4911471,609
G000627905,4961899,4962361,463
G000627905,5010440,5010999,560
G000636015,3631549,3632155,607
G000647835,2701831,2702125,295
G000647835,2950392,2950904,513
G000647835,3157631,3157999,369
G000648965,243842,244529,688
G000648965,2535534,2536170,637
G000648965,3733031,3734382,1352
G000648965,3832278,3834430,2153
G000648985,1456000,1456999,1000
G000648985,3614288,3616964,2677
G000648985,4900228,4901851,1624
G000671695,4607562,4607681,120
G000682255,4127486,4127605,120
G000682255,4232853,4233114,262
G000682315,4599336,4599959,624
G000682335,4219558,4219677,120
G000682355,4344816,4344935,120
G000685585,423403,424159,757
G000685585,424337,424999,663
G000685585,726318,726776,459
G000685585,1161380,1161622,243
G000685585,1744770,1745197,428
G000687085,5121750,5122120,371
G000690055,4726835,4727214,380
G000690195,1843195,1844940,1746
G000690355,2244236,2245364,1129
G000691125,2886427,2886644,218
G000691125,2886857,2886980,124
G000691125,2887180,2888230,1051
G000691125,2889611,2892105,2495
G000695365,4361294,4361634,341
G000695365,4370316,4370612,297
G000695405,2148445,2148702,258
G000695425,2168031,2168239,209
G000695425,2169095,2169424,330
G000695425,2170179,2170855,677
G000695425,2171203,2171505,303
G000695425,2173151,2173317,167
G000695425,2174250,2174411,162
G000695465,3428753,3429136,384
G000695485,2572217,2573832,1616
G000695485,4680666,4681261,596
G000695485,4681506,4683125,1620
G000695485,4933616,4933999,384
G000695485,4934166,4934518,353
G000695485,4935263,4935407,145
G000695855,3843717,3844558,842
G000695855,3847000,3847574,575
G000695855,3848287,3851647,3361
G000696115,7317821,7317959,139
G000696115,7319000,7320739,1740
G000696115,7334263,7334395,133
G000696115,9382492,9382778,287
G000696115,9383193,9383515,323
G000697965,583482,583823,342
G000697965,741097,741371,275
G000697965,888758,888977,220
G000698025,3524550,3525237,688
G000698025,3529135,3529702,568
G000698025,3530796,3531265,470
G000698025,3531774,3532236,463
G000698025,3536405,3536835,431
G000698025,3538192,3538576,385
G000698025,3539044,3539463,420
G000698025,3543899,3543999,101
G000698025,3545656,3545999,344
G000700305,4927026,4927528,503
G000700445,5392000,5392359,360
G000703385,5218240,5218542,303
G000703605,4928375,4928719,345
G000703865,5422353,5422778,426
G000705255,1713802,1715607,1806
G000705255,1717000,1717427,428
G000705255,1718000,1719187,1188
G000705395,2760848,2761837,990
G000705395,2762000,2763999,2000
G000705395,2768748,2770570,1823
G000705395,2775634,2777107,1474
G000705395,2778272,2781750,3479
G000705395,2783729,2784679,951
G000705395,2785000,2785604,605
G000705395,2792832,2793487,656
G000705395,2795477,2795999,523
G000705395,2798000,2798552,553
G000705415,2854000,2857339,3340
G000705415,2858359,2859258,900
G000705415,2861000,2861789,790
G000705415,2864000,2865662,1663
G000705415,2865876,2866220,345
G000705415,2867083,2867645,563
G000705435,2798194,2799248,1055
G000705435,2799441,2800278,838
G000705435,2801232,2802112,881
G000705435,2803842,2805853,2012
G000705435,2806680,2808584,1905
G000705435,2809377,2809999,623
G000705435,2810671,2810999,329
G000705435,2811317,2811524,208
G000705435,2812550,2813131,582
G000705435,2813753,2814311,559
G000705435,2815459,2815991,533
G000705435,2817098,2817612,515
G000708405,2789339,2790311,973
G000708405,2791322,2791982,661
G000708405,2792198,2792684,487
G000708405,2807000,2807361,362
G000709575,4170,4546,377
G000709575,4755,5918,1164
G000709575,20586,21819,1234
G000709575,23139,23353,215
G000709575,63846,63979,134
G000709575,122222,122703,482
G000709575,123682,124141,460
G000709575,129057,129465,409
G000709595,1102,1302,201
G000709595,19326,19630,305
G000709595,20329,20652,324
G000709595,126808,127310,503
G000709595,219717,220543,827
G000709595,221006,221410,405
G000709615,5207,5413,207
G000709615,5678,5891,214
G000709615,6101,6259,159
G000709615,8453,8962,510
G000709615,9149,9524,376
G000709615,25752,26115,364
G000709635,3154,3296,143
G000709635,3516,3633,118
G000709635,8724,8998,275
G000709635,13477,13765,289
G000709635,22415,22606,192
G000709635,23155,23712,558
G000709635,26536,26857,322
G000709635,27386,27620,235
G000709635,49000,49597,598
G000709635,50000,50192,193
G000709635,50375,50489,115
G000709635,52434,52999,566
G000709635,94477,94835,359
G000709635,95000,95399,400
G000709635,96000,96255,256
G000709695,89380,89813,434
G000709695,90102,90575,474
G000710365,5459,5878,420
G000710365,10688,11220,533
G000710365,1473476,1473886,411
G000710365,1476609,1476999,391
G000710365,3253626,3253999,374
G000710375,3403,4243,841
G000710375,1319314,1319520,207
G000710375,1320209,1320537,329
G000710375,1327346,1327974,629
G000710375,2837253,2837445,193
G000710375,2843591,2844452,862
G000710375,2844796,2844999,204
G000710375,4286349,4286728,380
G000710375,4290000,4290379,380
G000710375,4302218,4302657,440
G000710375,4304422,4304670,249
G000713135,5213799,5214102,304
G000713535,4623249,4623795,547
G000713535,4624750,4624999,250
G000713535,4629459,4630319,861
G000714765,3260592,3261999,1408
G000714795,3211257,3211400,144
G000714795,3213639,3213738,100
G000715315,2049250,2049809,560
G000717095,9877841,9877997,157
G000717095,9923101,9923998,898
G000717095,9948871,9948999,129
G000722545,7997645,7998374,730
G000722555,4618736,4618901,166
G000722555,4619232,4619451,220
G000723565,0,999,1000
G000724665,2561115,2561335,221
G000724665,3517656,3517811,156
G000724665,5302000,5302373,374
G000724795,20485,20850,366
G000724795,21745,22151,407
G000724795,34000,34132,133
G000724795,37079,37733,655
G000724795,3204284,3204738,455
G000724795,3209210,3209741,532
G000724805,1940125,1940510,386
