fastq_fn	fastq_prep_ID	HG38	T2T_pese	Pangenome_pese	Transcript_pese
TCGA-04-1332-01A-01R-1564-13_rnaseq.	117457	242682	35268	27334	26708
TCGA-04-1337-01A-01R-1564-13_GRCh37-lite_rnaseq.	117458	6924	4960	4270	4218
TCGA-04-1337-01A-01R-1564-13_rnaseq.	117458	34738	25022	21792	21510
TCGA-04-1338-01A-01R-1564-13_GRCh37-lite_rnaseq.	117426	1056656	25592	22816	22652
TCGA-04-1338-01A-01R-1564-13_rnaseq.	117426	3039480	81962	72216	71684
TCGA-04-1341-01A-01R-1564-13_GRCh37-lite_rnaseq.	117456	20926	15130	13520	13394
TCGA-04-1341-01A-01R-1564-13_rnaseq.	117456	44888	32178	28784	28490
TCGA-04-1343-01A-01R-1564-13_GRCh37-lite_rnaseq.	117455	1090140	244702	171396	169288
TCGA-04-1343-01A-01R-1564-13_rnaseq.	117455	310628	71664	50174	49616
TCGA-04-1347-01A-01R-1564-13_GRCh37-lite_rnaseq.	117444	1122658	394578	228008	224512
TCGA-04-1347-01A-01R-1564-13_rnaseq.	117444	3435698	1051382	623016	613902
TCGA-04-1348-01A-01R-1565-13_GRCh37-lite_rnaseq.	117458	8128	4934	4002	3930
TCGA-04-1348-01A-01R-1565-13_rnaseq.	117458	31510	19200	15646	15314
TCGA-04-1350-01A-01R-1565-13_GRCh37-lite_rnaseq.	117452	774250	415508	405262	404380
TCGA-04-1350-01A-01R-1565-13_rnaseq.	117452	214754	115360	112686	112458
TCGA-04-1356-01A-01R-1569-13_GRCh37-lite_rnaseq.	117453	135032	105752	93912	90570
TCGA-04-1356-01A-01R-1569-13_rnaseq.	117453	48898	38490	34228	33092
TCGA-04-1357-01A-01R-1565-13_GRCh37-lite_rnaseq.	117446	263536	60458	33040	32668
TCGA-04-1357-01A-01R-1565-13_rnaseq.	117446	671162	156540	86194	85382
TCGA-04-1361-01A-01R-1565-13_GRCh37-lite_rnaseq.	117456	38026	22284	18246	17958
TCGA-04-1361-01A-01R-1565-13_rnaseq.	117456	139334	77426	67574	66766
TCGA-04-1362-01A-01R-1565-13_GRCh37-lite_rnaseq.	117454	12502	8492	7684	7618
TCGA-04-1362-01A-01R-1565-13_rnaseq.	117454	98738	66040	58700	57996
TCGA-04-1364-01A-01R-1565-13_GRCh37-lite_rnaseq.	117452	138984	112914	104162	102626
TCGA-04-1364-01A-01R-1565-13_rnaseq.	117452	28586	23244	21582	21310
TCGA-04-1365-01A-01R-1565-13_GRCh37-lite_rnaseq.	117457	410096	353866	332320	330912
TCGA-04-1365-01A-01R-1565-13_rnaseq.	117457	410430	354124	332354	330938
TCGA-04-1514-01A-01R-1566-13_GRCh37-lite_rnaseq.	117454	85622	38566	22416	20626
TCGA-04-1514-01A-01R-1566-13_rnaseq.	117454	21604	9598	5926	5472
TCGA-04-1517-01A-01R-1565-13_GRCh37-lite_rnaseq.	117458	2064	1436	1088	1026
TCGA-04-1517-01A-01R-1565-13_rnaseq.	117458	83996	58054	41912	39208
TCGA-04-1519-01A-01R-1565-13_GRCh37-lite_rnaseq.	117448	35524	28978	27926	27846
TCGA-04-1519-01A-01R-1565-13_rnaseq.	117448	235348	189796	183466	182906
TCGA-04-1530-01A-02R-1569-13_GRCh37-lite_rnaseq.	117453	5142	3992	3080	2914
TCGA-04-1530-01A-02R-1569-13_rnaseq.	117453	111468	82396	63624	60500
TCGA-04-1536-01A-01R-1566-13_GRCh37-lite_rnaseq.	117449	252164	112560	93962	92280
TCGA-04-1536-01A-01R-1566-13_rnaseq.	117449	111140	42620	36540	35834
TCGA-04-1542-01A-01R-1566-13_GRCh37-lite_rnaseq.	117436	1340348	109504	103398	102196
TCGA-04-1542-01A-01R-1566-13_rnaseq.	117436	1340454	109618	103384	102196
TCGA-04-1648-01A-01R-1567-13_GRCh37-lite_rnaseq.	117451	2963248	109430	95192	92606
TCGA-04-1648-01A-01R-1567-13_rnaseq.	117451	1345586	48098	42046	40906
TCGA-04-1651-01A-01R-1567-13_GRCh37-lite_rnaseq.	117456	1221596	35488	32490	31822
TCGA-04-1651-01A-01R-1567-13_rnaseq.	117456	1725770	56736	51850	50876
TCGA-04-1655-01A-01R-1566-13_GRCh37-lite_rnaseq.	117445	302944	238126	230784	229290
TCGA-04-1655-01A-01R-1566-13_rnaseq.	117445	303034	238194	230786	229290
TCGA-09-0364-01A-02R-1564-13_GRCh37-lite_rnaseq.	117452	170930	39778	25866	24636
