fastq_fn	fastq_prep_ID	HG38	T2T_pese	Pangenome_pese
TCGA-BJ-A0ZJ-01A-11D-A10R_120616_SN1120_0153_AC0WMJACXX_s_2_rg.sorted.filtered	115207	1585616	944534	770814
TCGA-BR-4188-11A-01D-1128_120805_SN1222_0143_BD172BACXX_s_5_rg.sorted.filtered	115207	1199524	669934	536632
TCGA-BS-A0TC-01A-11D-A101_120407_SN590_0152_AC0C7LACXX_s_1_rg.sorted.filtered	115207	1259580	757016	605298
TCGA-BS-A0TE-01A-11D-A101_120407_SN590_0152_AC0C7LACXX_s_3_rg.sorted.filtered	115207	1133100	696522	572864
TCGA-BS-A0TG-01A-32D-A101_120407_SN590_0152_AC0C7LACXX_s_4_rg.sorted.filtered	115207	1023908	581220	470032
TCGA-BS-A0U7-01A-21D-A101_120407_SN590_0152_AC0C7LACXX_s_7_rg.sorted.filtered	115207	1267906	782142	613322
TCGA-BT-A2LA-01A-11D-A18D_120912_SN1222_0148_AC188PACXX_s_3_rg.sorted.filtered	115207	2039674	1231580	1021162
TCGA-BT-A2LD-01A-12D-A210_120914_SN590_0180_BC19KDACXX_s_5_rg.sorted.filtered	115207	726498	368504	288840
TCGA-CA-5256-01A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	8849884	7871946	7240884
TCGA-CA-5256-10A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	9505344	8516596	7829270
TCGA-CG-4449-10A-01D-A326_131015_SN1440_0171_AC2DLBACXX_s_8_rg.sorted.filtered	115207	490300	51690	7848
TCGA-CG-4455-01A-01D-1154_120913_SN208_0429_AC187FACXX_s_7_rg.sorted.filtered	115207	1161632	608270	504418
TCGA-CG-4455-01A-01D-1154_130815_VM001_0004_VMR0004CXX_s_5_rg.sorted.filtered	115207	1161600	608262	504410
TCGA-CG-4460-01A-01D-1154_120913_SN208_0429_AC187FACXX_s_8_rg.sorted.filtered	115207	1055444	619304	522440
TCGA-CG-4462-01A-01D-1154_121023_SN208_0437_BD1H3FACXX_s_7_rg.sorted.filtered	115207	497652	65658	25188
